Year,Percentage of prisoners sentenced for drug offences in Portugal,Mean Europe,Median Europe
2001,42.9, 16.5, 11.7
2002,41.8,17.8,14.1
2003,41.5,14.8,13.0
2004,,,
2005,27.1,15.9,14.1
2006,27.3,16.8,14.4
2007,27.3,17.7,14.8
2008,21.3,15.9,14.7
2009,23.3,18.7,15.4
2010,21.5,18.6,16.4
2011,20.3,17.6,17.2
2012,20.6,17.1,16.7
2013,19.6,17.0,17.8
2014,19.5,17.6,16.5
2015,19.7,17.3,18.7
2016,19.4,18.1,17.5
2017,,,
2018,17.2,17.4,16.8
2019,15.7,19.4,18.1
2020,17.7,18.3,17.7
2021,19.4,18.1,17.1
2022,18.5,19.0,18.0
2023,18.5,18.9
